18347,"K0A9","small_airport","Elizabethton Municipal Airport",36.371201,-82.173302,1593,"NA","US","US-TN","Elizabethton","no",,,"0A9",,"https://en.wikipedia.org/wiki/Elizabethton_Municipal_Airport",
18348,"K0B1","small_airport","Bethel Regional Airport",44.425201,-70.809896,654,"NA","US","US-ME","Bethel","no",,,"0B1","http://www.bethelregionalairport.com/","https://en.wikipedia.org/wiki/Bethel_Regional_Airport","Dyke Airport"
18349,"K0B4","small_airport","Hartington Municipal Airport / Bud Becker Field",42.6036,-97.252602,1387,"NA","US","US-NE","Hartington","no","K0B4",,"0B4",,,
18350,"K0B5","small_airport","Turners Falls Airport",42.5914001465,-72.5227966309,356,"NA","US","US-MA","Montague","no","0B5",,"0B5","http://turnersfallsairport.com/","https://en.wikipedia.org/wiki/Turners_Falls_Airport",
18351,"K0B8","small_airport","Elizabeth Field",41.25130081179999,-72.0316009521,9,"NA","US","US-NY","Fishers Island","no","0B8","FID","0B8","https://www.dot.ny.gov/divisions/operating/opdm/aviation/repository/air_dir2/Elizabeth-revised.pdf","https://en.wikipedia.org/wiki/Elizabeth_Field",
18352,"K0C0","small_airport","Dacy Airport",42.4025,-88.632401,913,"NA","US","US-IL","Harvard","no","K0C0",,"0C0",,"https://en.wikipedia.org/wiki/Dacy_Airport",
18353,"K0C4","small_airport","Pender Municipal Airport",42.113899,-96.728107,1345,"NA","US","US-NE","Pender","no",,,"0C4",,,
18354,"K0D8","small_airport","Gettysburg Municipal Airport",44.986698,-99.952797,2062,"NA","US","US-SD","Gettysburg","no","0D8",,"0D8",,,
18355,"K0E0","small_airport","Moriarty Municipal Airport",34.9751,-106.0028,6199,"NA","US","US-NM","Moriarty","no",,,"0E0",,,
18356,"K0E8","small_airport","Crownpoint Airport",35.71770095825195,-108.2020034790039,6696,"NA","US","US-NM","Crownpoint","no",,,"0E8",,"https://en.wikipedia.org/wiki/Crownpoint_Airport",
18357,"K0F2","small_airport","Bowie Municipal Airport",33.6017,-97.775597,1101,"NA","US","US-TX","Bowie","no",,,"0F2",,"https://en.wikipedia.org/wiki/Bowie_Municipal_Airport",
18359,"K0F4","small_airport","Loup City Municipal Airport",41.286449,-98.989745,2071,"NA","US","US-NE","Loup City","no",,,"0F4",,,"NE03"
18360,"K0F7","small_airport","Fountainhead Lodge Airpark",35.388699,-95.600238,670,"NA","US","US-OK","Checotah","no",,,"0F7",,,
